Company,Product,Size,Currency,Prices,Price_Category
Goody,Whole Kernel Golden Corn,340G,SAR,3.25,Low Price
Goody,Original Mayonnaise,332 Ml,SAR,7.75,Medium Price
Goody,Ranch Dressing,237 Ml,SAR,7.95,Medium Price
Halwani Brothers,AlNakhla Finest Halawa Plain,250G,SAR,9.4,Medium Price
7 UP,Can,150 Ml,SAR,1.5,Low Price
Goody,Tenderina Sandwich Tuna,80G,SAR,3.5,Low Price
Afia,Sunflower Oil,1.8L,SAR,19.9,Medium Price
Afia,Pure Corn Oil,750 Ml,SAR,10.95,Medium Price
7 UP,Bottle,1L,SAR,5.0,Medium Price
Al Alali,100% Natural Tomato Paste,8 x 130G,SAR,9.75,Medium Price
Afia,Corn Oil,200Ml,SAR,18.5,Medium Price
Galaxy,Jewels Chocolate,200G,SAR,22.95,High Price
Afia,Extra Virgin Olive Oil,250 Ml,SAR,13.5,Medium Price
Al Arabi,Pure Vegetable Frying Oil,1.8L,SAR,15.25,Medium Price
Godiva,Milk Chocolate Hazelnut Oyster,30G,SAR,3.95,Low Price
Goody,Albacore white meat Tuna in Sunflower Oil,185G,SAR,7.25,Medium Price
Goody,Chunky Peanut Butter,340G,SAR,11.25,Medium Price
Goody,Light Meat Tuna in Sunflower Oil,185G,SAR,7.5,Medium Price
Goody,Lite Mayonnaise,332 Ml,SAR,7.75,Medium Price
Goody,Creamy Peanut Butter,340G,SAR,10.95,Medium Price
Kellogg's,Corn Flakes,500G,SAR,15.95,Medium Price
Goody,Natural White Vinegar,473 Ml,SAR,2.95,Low Price
Kellogg's,The Original Corn Flakes,250G,SAR,9.7,Medium Price
Kellogg's,Special K Original Wheat Cereal,375G,SAR,22.55,High Price
Kikkoman,Soy Sauce,150 Ml,SAR,10.45,Medium Price
Kinder,Chocolate,50G,SAR,2.55,Low Price
Kettle,Cooked Potato Chips With French Cheese,170G,SAR,7.1,Medium Price
Kettle,Cooked Potato Chips With flaming chilli,170G,SAR,7.1,Medium Price
Kettle,Cooked Potato Chips With Arabic Spice,170G,SAR,7.1,Medium Price
Kettle,Cooked Potato Chips With Sea Salt,170G,SAR,7.1,Medium Price
Kettle,Cooked Potato Chips With Honey & Bbq,170G,SAR,7.1,Medium Price
Lays,Max Mexican Chili Flavor Potato chips,50G,SAR,2.0,Low Price
Lays,Tomato Ketchup Potato chips,21G,SAR,1.05,Low Price
Lays,Salt & Vinegar Potato chips,21G,SAR,1.05,Low Price
Lays,French Cheese Potato chips,21G,SAR,1.05,Low Price
Lays,Max Creamy Chedder Flavor Potato chips,50G,SAR,2.0,Low Price
Lays,Salt Potato chips,54G,SAR,2.0,Low Price
